year,from,to,pop
2019,新北市,基隆市,38251
2019,新北市,宜蘭縣,16143
2019,新北市,屏東縣,7540
2019,新北市,彰化縣,15472
2019,新北市,新北市,1463493
2019,新北市,新竹市,10956
2019,新北市,新竹縣,14310
2019,新北市,桃園市,161589
2019,新北市,澎湖縣,1859
2019,新北市,臺中市,46581
2019,新北市,臺北市,244878
2019,新北市,臺南市,19542
2019,新北市,臺東縣,5621
2019,新北市,花蓮縣,10240
2019,新北市,苗栗縣,10237
2019,新北市,連江縣,1148
2019,新北市,金門縣,9457
2019,新北市,雲林縣,17108
2019,新北市,高雄市,27307
2019,新竹市,南投縣,882
2019,新竹市,嘉義市,579
2019,新竹市,嘉義縣,784
2019,新竹市,基隆市,1097
2019,新竹市,宜蘭縣,941
2019,新竹市,屏東縣,1095
2019,新竹市,彰化縣,2160
2019,新竹市,新北市,18686
2019,新竹市,新竹市,258836
2019,新竹市,新竹縣,129813
2019,新竹市,桃園市,21605
2019,新竹市,澎湖縣,330
2019,新竹市,臺中市,11321
2019,新竹市,臺北市,21577
2019,新竹市,臺南市,3954
2019,新竹市,臺東縣,424
2019,新竹市,花蓮縣,878
2019,新竹市,苗栗縣,25377
2019,新竹市,連江縣,94
2019,新竹市,金門縣,972
2019,新竹市,雲林縣,1166
2019,新竹市,高雄市,4941
2019,新竹縣,南投縣,1357
2019,新竹縣,嘉義市,468
2019,新竹縣,嘉義縣,811
2019,新竹縣,基隆市,2098
2019,新竹縣,宜蘭縣,1183
2019,新竹縣,屏東縣,1710
2019,新竹縣,彰化縣,2041
2019,新竹縣,新北市,38655
2019,新竹縣,新竹市,32102
2019,新竹縣,新竹縣,247720
2019,新竹縣,桃園市,66965
2019,新竹縣,澎湖縣,233
2019,新竹縣,臺中市,10643
2019,新竹縣,臺北市,27337
2019,新竹縣,臺南市,3233
2019,新竹縣,臺東縣,949
2019,新竹縣,花蓮縣,1989
2019,新竹縣,苗栗縣,11205
2019,新竹縣,連江縣,100
2019,新竹縣,金門縣,811
2019,新竹縣,雲林縣,1097
2019,新竹縣,高雄市,5680
2019,桃園市,南投縣,3770
2019,桃園市,嘉義市,1891
2019,桃園市,嘉義縣,3859
2019,桃園市,基隆市,5367
2019,桃園市,宜蘭縣,5482
2019,桃園市,屏東縣,5366
2019,桃園市,彰化縣,6688
2019,桃園市,新北市,153086
2019,桃園市,新竹市,13040
2019,桃園市,新竹縣,36046
2019,桃園市,桃園市,1203810
2019,桃園市,澎湖縣,1408
2019,桃園市,臺中市,26688
2019,桃園市,臺北市,65369
2019,桃園市,臺南市,10715
2019,桃園市,臺東縣,4043
2019,桃園市,花蓮縣,6552
2019,桃園市,苗栗縣,10792
2019,桃園市,連江縣,1434
2019,桃園市,金門縣,6751
2019,桃園市,雲林縣,5932
2019,桃園市,高雄市,16015
2019,澎湖縣,南投縣,391
2019,澎湖縣,嘉義市,381
2019,澎湖縣,嘉義縣,530
2019,澎湖縣,基隆市,612
2019,澎湖縣,宜蘭縣,716
2019,澎湖縣,屏東縣,1561
2019,澎湖縣,彰化縣,964
2019,澎湖縣,新北市,8191
2019,澎湖縣,新竹市,749
2019,澎湖縣,新竹縣,552
2019,澎湖縣,桃園市,4654
2019,澎湖縣,澎湖縣,73456
2019,澎湖縣,臺中市,5520
2019,澎湖縣,臺北市,5843
2019,澎湖縣,臺南市,6413
2019,澎湖縣,臺東縣,237
2019,澎湖縣,花蓮縣,344
2019,澎湖縣,苗栗縣,349
2019,澎湖縣,連江縣,22
2019,澎湖縣,金門縣,251
2019,澎湖縣,雲林縣,493
2019,澎湖縣,高雄市,34115
2019,臺中市,南投縣,47895
2019,臺中市,嘉義市,4746
2019,臺中市,嘉義縣,8041
2019,臺中市,基隆市,6442
2019,臺中市,宜蘭縣,3939
2019,臺中市,屏東縣,9433
2019,臺中市,彰化縣,53378
2019,臺中市,新北市,91423
2019,臺中市,新竹市,13390
2019,臺中市,新竹縣,13862
2019,臺中市,桃園市,49934
2019,臺中市,澎湖縣,2556
2019,臺中市,臺中市,1888667
2019,臺中市,臺北市,76337
2019,臺中市,臺南市,23394
2019,臺中市,臺東縣,4969
2019,臺中市,花蓮縣,5775
2019,臺中市,苗栗縣,42985
2019,臺中市,連江縣,447
2019,臺中市,金門縣,5729
2019,臺中市,雲林縣,18494
2019,臺中市,高雄市,35553
2019,臺北市,南投縣,7688
2019,臺北市,嘉義市,5585
2019,臺北市,嘉義縣,7378
2019,臺北市,基隆市,35531
2019,臺北市,宜蘭縣,19182
2019,臺北市,屏東縣,8179
2019,臺北市,彰化縣,15204
2019,臺北市,新北市,1007895
2019,臺北市,新竹市,22804
2019,臺北市,新竹縣,23086
2019,臺北市,桃園市,177647
2019,臺北市,澎湖縣,2517
2019,臺北市,臺中市,74741
2019,臺北市,臺北市,1447894
2019,臺北市,臺南市,27691
2019,臺北市,臺東縣,4632
2019,臺北市,花蓮縣,10749
2019,臺北市,苗栗縣,11930
2019,臺北市,連江縣,1355
2019,臺北市,金門縣,11122
2019,臺北市,雲林縣,12261
2019,臺北市,高雄市,44675
2019,臺南市,南投縣,5188
2019,臺南市,嘉義市,10953
2019,臺南市,嘉義縣,24681
2019,臺南市,基隆市,4034
2019,臺南市,宜蘭縣,3011
2019,臺南市,屏東縣,16206
2019,臺南市,彰化縣,12515
2019,臺南市,新北市,99869
2019,臺南市,新竹市,9633
2019,臺南市,新竹縣,8778
2019,臺南市,桃園市,45612
2019,臺南市,澎湖縣,3331
2019,臺南市,臺中市,56185
2019,臺南市,臺北市,75744
2019,臺南市,臺南市,1472212
2019,臺南市,臺東縣,4366
2019,臺南市,花蓮縣,3784
2019,臺南市,苗栗縣,4545
